id,code,province,district,township
l10n_pa_edi_location_4_12_1,4-12-1,CHIRIQUI,SAN LORENZO,HORCONCITOS (CABECERA)
l10n_pa_edi_location_4_12_2,4-12-2,CHIRIQUI,SAN LORENZO,BOCA CHICA
l10n_pa_edi_location_4_12_3,4-12-3,CHIRIQUI,SAN LORENZO,BOCA DEL MONTE
l10n_pa_edi_location_4_12_4,4-12-4,CHIRIQUI,SAN LORENZO,SAN JUAN
l10n_pa_edi_location_4_12_5,4-12-5,CHIRIQUI,SAN LORENZO,SAN LORENZO
l10n_pa_edi_location_4_13_1,4-13-1,CHIRIQUI,TOLE,TOLE (CABECERA)
l10n_pa_edi_location_4_13_2,4-13-2,CHIRIQUI,TOLE,BELLA VISTA
l10n_pa_edi_location_4_13_3,4-13-3,CHIRIQUI,TOLE,CERRO VIEJO
l10n_pa_edi_location_4_13_4,4-13-4,CHIRIQUI,TOLE,EL CRISTO
l10n_pa_edi_location_4_13_5,4-13-5,CHIRIQUI,TOLE,JUSTO FIDEL PALACIOS
l10n_pa_edi_location_4_13_6,4-13-6,CHIRIQUI,TOLE,LAJAS DE TOLE
l10n_pa_edi_location_4_13_7,4-13-7,CHIRIQUI,TOLE,POTRERO DE CAÑA
l10n_pa_edi_location_4_13_8,4-13-8,CHIRIQUI,TOLE,QUEBRADA DE PIEDRA
l10n_pa_edi_location_4_13_9,4-13-9,CHIRIQUI,TOLE,VELADERO
l10n_pa_edi_location_5_1_1,5-1-1,DARIEN,CHEPIGANA,LA PALMA (CABECERA)
l10n_pa_edi_location_5_1_2,5-1-2,DARIEN,CHEPIGANA,CAMOGANTI
l10n_pa_edi_location_5_1_3,5-1-3,DARIEN,CHEPIGANA,CHEPIGANA
l10n_pa_edi_location_5_1_4,5-1-4,DARIEN,CHEPIGANA,GARACHINE
l10n_pa_edi_location_5_1_5,5-1-5,DARIEN,CHEPIGANA,JAQUE
l10n_pa_edi_location_5_1_6,5-1-6,DARIEN,CHEPIGANA,PUERTO PIÑA
l10n_pa_edi_location_5_1_7,5-1-7,DARIEN,CHEPIGANA,RIO CONGO
l10n_pa_edi_location_5_1_8,5-1-8,DARIEN,CHEPIGANA,RIO IGLESIAS
l10n_pa_edi_location_5_1_9,5-1-9,DARIEN,CHEPIGANA,SAMBU
l10n_pa_edi_location_5_1_10,5-1-10,DARIEN,CHEPIGANA,SETEGANTI
l10n_pa_edi_location_5_1_11,5-1-11,DARIEN,CHEPIGANA,TAIMATI
l10n_pa_edi_location_5_1_12,5-1-12,DARIEN,CHEPIGANA,TUCUTI
l10n_pa_edi_location_5_1_13,5-1-13,DARIEN,CHEPIGANA,AGUA FRIA
l10n_pa_edi_location_5_1_14,5-1-14,DARIEN,CHEPIGANA,CUCUNATI
l10n_pa_edi_location_5_1_15,5-1-15,DARIEN,CHEPIGANA,RIO CONGO ARRIBA
l10n_pa_edi_location_5_1_16,5-1-16,DARIEN,CHEPIGANA,SANTA FE
